時間戳記,您的（生理）性別是？,您目前的年級是？,您目前就讀的院所為？,您目前就讀的科系為？,您目前就讀的科系為？,您目前就讀的科系為？,您目前就讀的科系為？,您目前就讀的科系為？,請問您「目前」的感情狀況？,截至目前為止，您曾經有過幾段戀愛關係？（含現在）,關於目前的單身狀態，哪一個選項最貼近您的情況？,關於您目前的感情關係狀況，以下哪一個選項最符合您的情況？,若您目前有伴侶，您與您的伴侶大約交往了多久？（若有多位則取最久的一位）,請問您的自我性別認同（心理性別）是？,請問您的性取向是？,"請問您對開放式關係的接受度為？（1～5分，1代表最不能接受；5代表最能接受）
(*開放式關係係經由伴侶間知情同意，同意伴侶能夠與他人發生性行為及建立情感連結的戀愛關係。)",若您的伴侶在交往過程期間向您提出希望嘗試開放式關係，您是否會同意?,若您發現您的伴侶在交往期間與其他人發展浪漫關係，您會？
2025/5/5 下午 12:17:01,生理男,一年級,法律學院,,,,,,非單身,2,,我目前有一位伴侶,0～6個月,男性,異性戀,1,可能不會同意,與對方溝通後決定
2025/5/5 下午 12:21:36,生理女,三年級,人文學院,,,,歷史學系,,單身,0,自願單身：我目前選擇單身，並享受這樣的狀態。,,,女性,異性戀,2,可能不會同意,立即分手
2025/5/5 下午 12:23:30,生理男,二年級,社會科學學院,,,經濟學系,,,單身,2,自願單身：我目前選擇單身，並享受這樣的狀態。,,,男性,異性戀,3,可能會同意,與對方溝通後決定
2025/5/5 下午 12:24:33,生理男,二年級,電機資訊學院,,,,,電機工程學系,單身,2,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,異性戀,2,可能不會同意,與對方溝通後決定
2025/5/5 下午 12:32:43,生理女,一年級,社會科學學院,,,經濟學系,,,單身,0,自願單身：我目前選擇單身，並享受這樣的狀態。,,,女性,異性戀,3,可能不會同意,立即分手
2025/5/5 下午 12:32:44,生理女,二年級,法律學院,,,,,,單身,0,自願單身：我目前選擇單身，並享受這樣的狀態。,,,非二元性別（如無性別、性別流動等）,異性戀,2,可能不會同意,與對方溝通後決定
2025/5/5 下午 12:33:34,生理女,一年級,社會科學學院,,,經濟學系,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,1,可能不會同意,立即分手
2025/5/5 下午 4:33:45,生理女,二年級,人文學院,,,,應用外語學系,,單身,1,自願單身：我目前選擇單身，並享受這樣的狀態。,,,女性,異性戀,1,可能不會同意,繼續交往
2025/5/6 上午 12:09:16,生理女,四年級（含延長修業）,法律學院,,,,,,單身,0,自願單身：我目前選擇單身，並享受這樣的狀態。,,,女性,異性戀,1,可能不會同意,與對方溝通後決定
2025/5/6 上午 6:01:04,生理女,四年級（含延長修業）,社會科學學院,,,經濟學系,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,1,可能不會同意,立即分手
2025/5/6 下午 2:05:29,生理女,一年級,社會科學學院,,,社會工作學系,,,非單身,3或以上,,我目前有一位伴侶,0～6個月,女性,異性戀,1,可能不會同意,立即分手
2025/5/6 下午 2:05:31,生理男,三年級,法律學院,,,,,,單身,0,自願單身：我目前選擇單身，並享受這樣的狀態。,,,男性,其他或尚在探索中,1,可能不會同意,立即分手
2025/5/6 下午 2:05:42,生理女,一年級,社會科學學院,,,社會工作學系,,,單身,0,自願單身：我目前選擇單身，並享受這樣的狀態。,,,女性,異性戀,1,可能不會同意,立即分手
2025/5/6 下午 2:05:52,生理女,二年級,人文學院,,,,歷史學系,,單身,0,非自願單身：我希望有伴侶，但目前還沒遇到合適的人。,,,女性,雙性戀,1,可能不會同意,立即分手
2025/5/6 下午 2:07:18,生理女,一年級,社會科學學院,,,社會工作學系,,,單身,1,非自願單身：我希望有伴侶，但目前還沒遇到合適的人。,,,女性,異性戀,1,可能不會同意,與對方溝通後決定
2025/5/6 下午 2:07:37,生理女,二年級,法律學院,,,,,,單身,0,自願單身：我目前選擇單身，並享受這樣的狀態。,,,女性,其他或尚在探索中,1,可能不會同意,立即分手
2025/5/6 下午 2:09:24,生理男,一年級,電機資訊學院,,,,,電機工程學系,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,異性戀,1,可能不會同意,與對方溝通後決定
2025/5/6 下午 2:09:28,生理女,一年級,社會科學學院,,,社會工作學系,,,非單身,1,,我目前有一位伴侶,7～12個月,女性,異性戀,1,可能不會同意,立即分手
2025/5/6 下午 2:11:32,生理女,三年級,社會科學學院,,,社會學系,,,單身,2,非自願單身：我希望有伴侶，但目前還沒遇到合適的人。,,,女性,異性戀,3,可能不會同意,與對方溝通後決定
2025/5/6 下午 10:11:01,生理女,二年級,法律學院,,,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,1,可能不會同意,立即分手
2025/5/7 上午 10:36:32,生理男,四年級（含延長修業）,人文學院,,,,歷史學系,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,異性戀,5,可能會同意,與對方溝通後決定
2025/5/8 下午 9:39:05,生理女,三年級,公共事務學院,,不動產與城鄉環境學系,,,,非單身,2,,我目前有一位伴侶,兩年以上，未達三年,女性,異性戀,1,可能不會同意,立即分手
2025/5/9 下午 12:08:55,生理男,一年級,法律學院,,,,,,單身,3或以上,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,異性戀,2,可能不會同意,立即分手
2025/5/9 下午 12:09:20,生理女,四年級（含延長修業）,法律學院,,,,,,單身,0,自願單身：我目前選擇單身，並享受這樣的狀態。,,,女性,雙性戀,2,可能不會同意,立即分手
2025/5/9 下午 12:33:19,生理女,四年級（含延長修業）,法律學院,,,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,其他或尚在探索中,3,可能會同意,與對方溝通後決定
2025/5/9 下午 1:08:01,生理女,一年級,社會科學學院,,,社會工作學系,,,單身,2,非自願單身：我希望有伴侶，但目前還沒遇到合適的人。,,,女性,雙性戀,2,可能不會同意,立即分手
2025/5/9 下午 1:09:00,生理女,一年級,社會科學學院,,,經濟學系,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,1,可能不會同意,與對方溝通後決定
2025/5/9 下午 1:09:46,生理女,一年級,社會科學學院,,,經濟學系,,,單身,2,自願單身：我目前選擇單身，並享受這樣的狀態。,,,女性,異性戀,1,可能不會同意,立即分手
2025/5/9 下午 1:10:13,生理女,一年級,社會科學學院,,,經濟學系,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,4,可能會同意,立即分手
2025/5/9 下午 2:53:08,生理男,四年級（含延長修業）,社會科學學院,,,社會學系,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,異性戀,2,可能不會同意,與對方溝通後決定
2025/5/9 下午 2:53:22,生理女,四年級（含延長修業）,人文學院,,,,中國文學系,,非單身,2,,我目前有一位伴侶,三年以上,女性,異性戀,1,可能不會同意,立即分手
2025/5/9 下午 2:53:49,生理男,二年級,商學院,金融與合作經營學系,,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,異性戀,1,可能不會同意,立即分手
2025/5/9 下午 2:56:09,生理女,一年級,公共事務學院,,公共行政暨政策學系,,,,非單身,2,,我目前有一位伴侶,兩年以上，未達三年,非二元性別（如無性別、性別流動等）,雙性戀,1,可能不會同意,立即分手
2025/5/9 下午 2:57:28,生理男,二年級,法律學院,,,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,異性戀,3,可能不會同意,立即分手
2025/5/9 下午 3:05:09,生理女,二年級,社會科學學院,,,社會學系,,,單身,0,自願單身：我目前選擇單身，並享受這樣的狀態。,,,女性,異性戀,2,可能不會同意,立即分手
2025/5/9 下午 3:11:22,生理女,二年級,法律學院,,,,,,單身,2,自願單身：我目前選擇單身，並享受這樣的狀態。,,,女性,異性戀,1,可能不會同意,與對方溝通後決定
2025/5/9 下午 3:37:59,生理女,二年級,商學院,會計學系,,,,,非單身,3或以上,,我目前有一位伴侶,7～12個月,女性,異性戀,1,可能不會同意,立即分手
2025/5/9 下午 3:41:30,生理女,二年級,商學院,會計學系,,,,,單身,0,自願單身：我目前選擇單身，並享受這樣的狀態。,,,女性,異性戀,2,可能不會同意,立即分手
2025/5/9 下午 4:03:43,生理男,一年級,商學院,企業管理學系,,,,,單身,3或以上,自願單身：我目前選擇單身，並享受這樣的狀態。,,,男性,異性戀,4,可能會同意,與對方溝通後決定
2025/5/9 下午 4:03:53,生理男,一年級,社會科學學院,,,經濟學系,,,單身,0,自願單身：我目前選擇單身，並享受這樣的狀態。,,,男性,異性戀,3,可能會同意,與對方溝通後決定
2025/5/9 下午 4:04:02,生理男,一年級,電機資訊學院,,,,,資訊工程學系,單身,0,自願單身：我目前選擇單身，並享受這樣的狀態。,,,男性,異性戀,3,可能會同意,與對方溝通後決定
2025/5/9 下午 4:04:06,生理女,一年級,商學院,企業管理學系,,,,,單身,1,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,2,可能不會同意,立即分手
2025/5/9 下午 4:04:14,生理女,一年級,商學院,企業管理學系,,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,其他或尚在探索中,1,可能不會同意,立即分手
2025/5/9 下午 4:04:22,生理女,一年級,商學院,企業管理學系,,,,,單身,1,自願單身：我目前選擇單身，並享受這樣的狀態。,,,女性,異性戀,1,可能不會同意,立即分手
2025/5/9 下午 4:04:23,生理女,一年級,商學院,企業管理學系,,,,,單身,3或以上,自願單身：我目前選擇單身，並享受這樣的狀態。,,,女性,異性戀,4,可能會同意,與對方溝通後決定
2025/5/9 下午 4:04:24,生理女,一年級,社會科學學院,,,經濟學系,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,1,可能不會同意,立即分手
2025/5/9 下午 4:04:44,生理男,一年級,商學院,企業管理學系,,,,,非單身,3或以上,,我目前有一位伴侶,一年以上，未達兩年,男性,異性戀,1,可能不會同意,立即分手
2025/5/9 下午 4:04:57,生理男,一年級,社會科學學院,,,經濟學系,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,異性戀,1,可能不會同意,立即分手
2025/5/9 下午 4:04:59,生理女,一年級,電機資訊學院,,,,,資訊工程學系,單身,0,自願單身：我目前選擇單身，並享受這樣的狀態。,,,女性,其他或尚在探索中,1,可能不會同意,立即分手
2025/5/9 下午 4:04:59,生理男,一年級,商學院,企業管理學系,,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,異性戀,1,可能不會同意,立即分手
2025/5/9 下午 4:05:00,生理男,一年級,商學院,企業管理學系,,,,,單身,1,非自願單身：我希望有伴侶，但目前還沒遇到合適的人。,,,男性,異性戀,1,可能不會同意,立即分手
2025/5/9 下午 4:05:10,生理男,一年級,電機資訊學院,,,,,資訊工程學系,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,異性戀,1,可能不會同意,與對方溝通後決定
2025/5/9 下午 4:05:17,生理女,一年級,社會科學學院,,,經濟學系,,,單身,3或以上,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,1,可能不會同意,立即分手
2025/5/9 下午 4:05:18,生理女,一年級,社會科學學院,,,經濟學系,,,單身,1,非自願單身：我希望有伴侶，但目前還沒遇到合適的人。,,,女性,異性戀,1,可能不會同意,立即分手
2025/5/9 下午 4:05:28,生理女,一年級,公共事務學院,,公共行政暨政策學系,,,,非單身,3或以上,,我目前有多位伴侶，但彼此不一定知道,7～12個月,非二元性別（如無性別、性別流動等）,同性戀,3,可能會同意,繼續交往
2025/5/9 下午 4:05:30,生理女,一年級,電機資訊學院,,,,,資訊工程學系,單身,0,非自願單身：我希望有伴侶，但目前還沒遇到合適的人。,,,女性,異性戀,1,可能不會同意,立即分手
2025/5/9 下午 4:05:34,生理女,一年級,電機資訊學院,,,,,資訊工程學系,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,2,可能不會同意,立即分手
2025/5/9 下午 4:05:43,生理女,一年級,商學院,企業管理學系,,,,,非單身,3或以上,,我目前有多位伴侶，但彼此不一定知道,兩年以上，未達三年,女性,雙性戀,4,可能不會同意,與對方溝通後決定
2025/5/9 下午 4:05:46,生理女,一年級,商學院,企業管理學系,,,,,單身,2,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,3,可能會同意,立即分手
2025/5/9 下午 4:06:25,生理女,一年級,商學院,統計學系,,,,,單身,0,非自願單身：我希望有伴侶，但目前還沒遇到合適的人。,,,女性,其他或尚在探索中,2,可能不會同意,立即分手
2025/5/9 下午 4:06:33,生理女,一年級,商學院,企業管理學系,,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,異性戀,1,可能不會同意,與對方溝通後決定
2025/5/9 下午 4:06:40,生理男,一年級,電機資訊學院,,,,,資訊工程學系,單身,1,自願單身：我目前選擇單身，並享受這樣的狀態。,,,男性,異性戀,3,可能不會同意,立即分手
2025/5/9 下午 4:06:42,生理女,一年級,社會科學學院,,,經濟學系,,,單身,0,非自願單身：我希望有伴侶，但目前還沒遇到合適的人。,,,女性,異性戀,1,可能不會同意,立即分手
2025/5/9 下午 4:07:16,生理女,一年級,商學院,企業管理學系,,,,,單身,3或以上,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,1,可能不會同意,立即分手
2025/5/9 下午 4:08:29,生理女,一年級,社會科學學院,,,社會學系,,,單身,1,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,1,可能不會同意,立即分手
2025/5/9 下午 4:10:50,生理男,一年級,商學院,企業管理學系,,,,,單身,1,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,異性戀,1,可能不會同意,立即分手
2025/5/9 下午 4:20:53,生理女,一年級,商學院,會計學系,,,,,非單身,1,,我目前有一位伴侶,一年以上，未達兩年,女性,異性戀,1,可能不會同意,立即分手
2025/5/9 下午 4:37:11,生理女,四年級（含延長修業）,商學院,統計學系,,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,2,可能不會同意,立即分手
2025/5/9 下午 4:57:33,生理男,四年級（含延長修業）,商學院,統計學系,,,,,單身,0,非自願單身：我希望有伴侶，但目前還沒遇到合適的人。,,,男性,異性戀,5,可能會同意,與對方溝通後決定
2025/5/9 下午 5:20:12,生理女,一年級,公共事務學院,,不動產與城鄉環境學系,,,,單身,1,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,1,可能不會同意,立即分手
2025/5/9 下午 5:20:54,生理女,二年級,法律學院,,,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,3,可能會同意,立即分手
2025/5/9 下午 6:05:11,生理女,四年級（含延長修業）,人文學院,,,,中國文學系,,單身,1,自願單身：我目前選擇單身，並享受這樣的狀態。,,,女性,雙性戀,3,可能不會同意,立即分手
2025/5/9 下午 6:50:06,生理男,一年級,電機資訊學院,,,,,電機工程學系,單身,0,非自願單身：我希望有伴侶，但目前還沒遇到合適的人。,,,男性,異性戀,2,可能不會同意,立即分手
2025/5/9 下午 8:23:47,生理女,一年級,公共事務學院,,不動產與城鄉環境學系,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,1,可能不會同意,立即分手
2025/5/9 下午 8:41:37,生理女,二年級,商學院,統計學系,,,,,單身,1,自願單身：我目前選擇單身，並享受這樣的狀態。,,,女性,異性戀,1,可能不會同意,與對方溝通後決定
2025/5/9 下午 8:50:11,生理女,一年級,公共事務學院,,不動產與城鄉環境學系,,,,非單身,2,,我目前有一位伴侶,一年以上，未達兩年,女性,異性戀,2,可能會同意,與對方溝通後決定
2025/5/9 下午 8:57:38,生理女,一年級,社會科學學院,,,社會學系,,,單身,1,非自願單身：我希望有伴侶，但目前還沒遇到合適的人。,,,女性,異性戀,1,可能不會同意,立即分手
2025/5/9 下午 9:36:50,生理女,四年級（含延長修業）,法律學院,,,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,雙性戀,1,可能不會同意,立即分手
2025/5/9 下午 9:40:26,生理女,三年級,商學院,金融與合作經營學系,,,,,單身,0,非自願單身：我希望有伴侶，但目前還沒遇到合適的人。,,,女性,異性戀,1,可能不會同意,立即分手
2025/5/9 下午 10:32:34,生理女,二年級,法律學院,,,,,,非單身,2,,我目前有一位伴侶,一年以上，未達兩年,女性,異性戀,1,可能不會同意,立即分手
2025/5/9 下午 10:36:17,生理男,二年級,公共事務學院,,公共行政暨政策學系,,,,單身,2,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,異性戀,1,可能不會同意,與對方溝通後決定
2025/5/9 下午 11:33:00,生理女,二年級,公共事務學院,,財政學系,,,,單身,0,自願單身：我目前選擇單身，並享受這樣的狀態。,,,女性,其他或尚在探索中,1,可能不會同意,與對方溝通後決定
2025/5/9 下午 11:57:36,生理女,三年級,商學院,金融與合作經營學系,,,,,非單身,3或以上,,我目前有一位伴侶,7～12個月,女性,雙性戀,3,可能不會同意,立即分手
2025/5/10 上午 12:18:29,生理男,一年級,電機資訊學院,,,,,通訊工程學系,單身,3或以上,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,異性戀,1,可能不會同意,與對方溝通後決定
2025/5/10 上午 3:29:27,生理男,一年級,公共事務學院,,財政學系,,,,單身,2,自願單身：我目前選擇單身，並享受這樣的狀態。,,,男性,異性戀,3,可能會同意,與對方溝通後決定
2025/5/10 上午 4:20:29,生理女,四年級（含延長修業）,商學院,會計學系,,,,,非單身,3或以上,,我目前有一位伴侶,7～12個月,女性,雙性戀,1,可能不會同意,立即分手
2025/5/10 上午 5:43:12,生理女,三年級,商學院,金融與合作經營學系,,,,,非單身,1,,我目前有一位伴侶,兩年以上，未達三年,女性,異性戀,5,可能會同意,立即分手
2025/5/10 上午 9:06:50,生理女,一年級,電機資訊學院,,,,,通訊工程學系,非單身,3或以上,,我目前有一位伴侶,0～6個月,女性,異性戀,1,可能不會同意,立即分手
2025/5/10 上午 10:10:38,生理女,四年級（含延長修業）,商學院,會計學系,,,,,非單身,1,,我目前有一位伴侶,三年以上,女性,異性戀,1,可能不會同意,立即分手
2025/5/10 上午 11:59:06,生理男,三年級,公共事務學院,,公共行政暨政策學系,,,,單身,2,自願單身：我目前選擇單身，並享受這樣的狀態。,,,男性,異性戀,2,可能不會同意,立即分手
2025/5/10 下午 1:01:06,生理男,四年級（含延長修業）,商學院,統計學系,,,,,單身,3或以上,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,異性戀,1,可能不會同意,立即分手
2025/5/10 下午 5:06:40,生理女,三年級,社會科學學院,,,經濟學系,,,單身,1,自願單身：我目前選擇單身，並享受這樣的狀態。,,,女性,雙性戀,1,可能不會同意,立即分手
2025/5/10 下午 6:18:37,生理女,二年級,商學院,統計學系,,,,,非單身,3或以上,,我目前有一位伴侶,0～6個月,女性,異性戀,1,可能不會同意,立即分手
2025/5/10 下午 7:23:31,生理女,一年級,商學院,統計學系,,,,,單身,0,非自願單身：我希望有伴侶，但目前還沒遇到合適的人。,,,女性,異性戀,1,可能不會同意,立即分手
2025/5/10 下午 7:24:58,生理女,二年級,社會科學學院,,,經濟學系,,,非單身,3或以上,,我目前有一位伴侶,7～12個月,女性,異性戀,1,可能不會同意,與對方溝通後決定
2025/5/10 下午 7:59:11,生理女,二年級,商學院,統計學系,,,,,單身,1,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,1,可能不會同意,立即分手
2025/5/10 下午 9:22:13,生理男,三年級,社會科學學院,,,經濟學系,,,非單身,1,,我目前有一位伴侶,一年以上，未達兩年,男性,異性戀,4,可能會同意,與對方溝通後決定
2025/5/10 下午 9:45:22,生理女,三年級,法律學院,,,,,,單身,3或以上,自願單身：我目前選擇單身，並享受這樣的狀態。,,,女性,同性戀,5,可能會同意,與對方溝通後決定
2025/5/10 下午 9:54:24,生理男,一年級,人文學院,,,,歷史學系,,單身,1,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,異性戀,1,可能不會同意,與對方溝通後決定
2025/5/10 下午 9:55:14,生理男,四年級（含延長修業）,商學院,會計學系,,,,,單身,1,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,男性,同性戀,1,可能不會同意,與對方溝通後決定
2025/5/10 下午 10:01:51,生理女,二年級,商學院,會計學系,,,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,1,可能不會同意,立即分手
2025/5/10 下午 10:39:00,生理女,一年級,社會科學學院,,,社會學系,,,單身,2,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,2,可能不會同意,與對方溝通後決定
2025/5/11 上午 12:56:34,生理女,三年級,社會科學學院,,,社會學系,,,單身,0,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,1,可能不會同意,與對方溝通後決定
2025/5/11 上午 3:00:53,生理女,一年級,商學院,統計學系,,,,,單身,3或以上,隨緣：目前沒有特別積極尋找對象，也不排斥發展。,,,女性,異性戀,1,可能不會同意,立即分手
2025/5/12 下午 12:12:02,生理男,二年級,商學院,企業管理學系,,,,,單身,2,非自願單身：我希望有伴侶，但目前還沒遇到合適的人。,,,男性,異性戀,1,可能不會同意,立即分手
